sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,29,,良好,,0.13,34.8,31.5,23,4,1.2,1.5,0.3,0.9,62,"2024-10-08 15:00",,0.1,2.8,17,,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,42,,良好,0.3,0.21,51.7,45.8,13,2,3.6,3.7,0,1.4,28,"2024-10-08 15:00",,0.2,3.2,16,0,121.82463916,24.85366672,312
新北(樹林),新北市,35,,良好,0.6,0.28,29.2,21.6,14,4,21.9,26.5,4.6,0.1,169,"2024-10-08 15:00",,0.3,2.7,13,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,47,,良好,0.9,0.17,60.1,39.0,24,16,2.1,2.6,0.5,1.9,321,"2024-10-08 15:00",,0.1,14.5,21,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,44,,良好,1.3,0.18,62.2,34.5,47,13,5.1,6.1,1,3.6,345,"2024-10-08 15:00",,0.2,13.4,35,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,32,,良好,1.5,0.16,58,35.2,,,,,,2.5,280,"2024-10-08 15:00",,0.1,8.5,27,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,38,,良好,1.3,0.21,58.5,41.4,20,3,6.6,9.1,2.5,1.9,351,"2024-10-08 15:00",,0.2,8,18,1,120.56373,23.96117,201
大城,彰化縣,44,,良好,1.4,0.11,64,48.7,30,9,1.1,2.9,1.7,8.5,41,"2024-10-08 15:00",,0.1,6.5,20,1,120.26964167,23.85493056,85
富貴角,新北市,64,臭氧八小時,普通,,0.13,63.5,59.8,52,15,,,,12.1,35,"2024-10-08 15:00",,0.1,11,40,,121.53656894,25.29681695,84
麥寮,雲林縣,42,,良好,1.5,0.18,61.8,45.2,51,11,0,3.9,4.3,7,3,"2024-10-08 15:00",,0.1,8.8,38,1,120.251825,23.753506,83
關山,臺東縣,20,,良好,0.1,0.11,29,22.1,14,1,1.8,2.6,0.7,2.5,34,"2024-10-08 15:00",,0.1,0.5,11,0,121.161933,23.045083,80
馬公,澎湖縣,44,,良好,1.5,0.17,50.8,47.4,12,2,1.7,2.4,0.7,6.7,28,"2024-10-08 15:00",,0.1,1.7,12,1,119.566158,23.569031,78
金門,金門縣,44,,良好,1,0.22,,47.6,15,7,5.2,5.6,0.3,2.2,58,"2024-10-08 15:00",,0.2,3.2,11,0,118.312256,24.432133,77
