sitename,lon,lat,address,city,dist
高雄市旗津復興社區站(多站),120.272907,22.605473,高雄市旗津區旗津三路900巷與復興巷口,高雄市,旗津區
中油大立鴻福加油站,118.387991,24.443806,金門縣金湖鎮瓊經路7號,金門縣,金湖鎮
中油旗津加油站,120.285037,22.59147,高雄市旗津區中洲二路259號,高雄市,旗津區
eMOVING 金城民族店站,118.315634,24.429465,金門縣金城鎮民族路253-12號,金門縣,金城鎮
全家鳳山頂庄店站(多站),120.362662,22.588122,高雄市鳳山區過勇路111號,高雄市,鳳山區
全聯旗津中洲店站,120.288963,22.58625,高雄市旗津區中洲二路179-11號,高雄市,旗津區
全聯竹北縣政店站,121.018116,24.831764,新竹縣竹北市縣政二路189號,新竹縣,竹北市
全家旗津天后店站,120.268062,22.611836,高雄市旗津區廟前路28號,高雄市,旗津區
喜互惠慈安店站(多站),121.761268,24.759138,宜蘭縣宜蘭市林森路225號,宜蘭縣,宜蘭市
全家台中上安店站,120.639909,24.17141,台中市西屯區上安路136號1樓,台中市,西屯區
仁武區公所站,120.347982,22.701384,高雄市仁武區中正路80號,高雄市,仁武區
臺鐵汐止車站(多站),121.663469,25.069713,新北市汐止區南昌街7號,新北市,汐止區
G2 commercial 測試站,121.359698,25.045013,台灣桃園市龜山區頂湖路24-1號,桃園市,龜山區
青蔦?子咖啡充電站,121.152876,22.755083,台灣台東縣台東市中正路251巷13號,台東縣,台東市
馬桶有魚民宿充電站,121.140809,22.742985,台灣台東縣台東市文山路38巷3號,台東縣,台東市
來就發彩卷行充電站,121.151806,22.752452,台灣台東縣台東市正氣路158號,台東縣,台東市
45號碼頭充電站,119.574553,23.572389,台灣澎湖縣馬公市永和街45號,澎湖縣,馬公市
松山Citylink門市,121.579231,25.049624,台灣台北市松山區市民大道六段131號3樓,台北市,松山區
土城裕民門市,121.452618,24.985498,台灣新北市土城區裕民路174-192號,新北市,土城區
新莊幸福門市,121.4466685,25.0493191,台灣新北市新莊區北66鄉道790號,新北市,新莊區
桃園中正門市,121.312888,24.991212,台灣桃園市桃園區中正路56號8樓,桃園市,桃園區
台中三民門市,120.684927,24.151306,台灣台中市北區三民路三段146號,台中市,北區
永康中華門市,120.235488,23.003016,台灣台南市永康區中華路140號,台南市,永康區
高雄中山門市,120.3012478,22.6241974,台灣高雄市新興區五福二路260號,高雄市,新興區
內湖Citylink門市,121.594264,25.084031,台灣台北市內湖區成功路四段188號11號樓之18,台北市,內湖區
豐原中正門市,120.721852,24.253551,台灣台中市豐原區中正路30號,台中市,豐原區
竹東長春服務中心,121.089395,24.736103,台灣新竹縣竹東鎮長春路一段278號,新竹縣,竹東鎮
汐止大同服務中心,121.655076,25.066591,台灣新北市汐止區大同路二段291號,新北市,汐止區
楊梅騏轟服務中心,121.174083,24.911261,台灣桃園市楊梅區中山北路二段296號,桃園市,楊梅區
中和中原服務中心,121.49109,25.007936,台灣新北市中和區中原街12號,新北市,中和區
三民鼎強服務中心,120.320886,22.665515,台灣高雄市三民區鼎強街97-1號,高雄市,三民區
信義松仁服務中心,121.568228,25.028092,台灣台北市信義區松仁路174號,台北市,信義區
北屯文心服務中心,120.694946,24.171483,台灣台中市北屯區文心路四段951-1號,台中市,北屯區
竹北成功服務中心,121.019858,24.817287,台灣新竹縣竹北市成功八路207號,新竹縣,竹北市
台南裕農服務中心,120.246207,22.990259,台灣台南市東區裕農路1016號,台南市,東區
北區小東服務中心,120.228633,22.999981,台灣台南市北區小東路245號,台南市,北區
龜山文化服務中心,121.361245,25.052988,台灣桃園市龜山區文化七路20-1號,桃園市,龜山區
內湖西湖服務中心,121.571906,25.082407,114台灣台北市內湖區內湖路一段411巷19弄17 樓3號,台北市,內湖區
中山松江服務中心,121.533016,25.067187,台灣台北市中山區松江路534號,台北市,中山區
新生市民服務中心,121.531539,25.047252,10491台灣台北市中山區長安東路二段36巷18號104 20 號興亞公園,台北市,中山區
三重光復服務中心,121.471839,25.05385,台灣新北市三重區光復路二段14號,新北市,三重區
中壢龍岡服務中心,121.224453,24.94971,台灣桃園市中壢區中北路二段46巷12弄3號,桃園市,中壢區
東區民權服務中心,120.97652,24.806505,台灣新竹市東區民權路38號,新竹市,東區
桃園永安服務中心,121.302863,24.998383,台灣桃園市桃園區中山北路231巷14弄3號,桃園市,桃園區
光華八德門市,121.53126,25.044132,台灣台北市中正區八德路一段27號,台北市,中正區
松山饒河門市,121.5751152,25.0498814,台灣台北市松山區八德路四段650號,台北市,松山區
圓山承德門市,121.51874,25.070867,台灣台北市大同區承德路三段235號,台北市,大同區
師大和平門市,121.529318,25.02712,台灣台北市大安區和平東路一段129-1號綜合大樓,台北市,大安區
板橋館前門市,121.4603758,25.0070782,台灣新北市板橋區館前東路26號7-11樓,新北市,板橋區
永和中正門市,121.5162996,24.9979853,台灣新北市永和區中正路232號,新北市,永和區
桃園八德門市,121.2975593,24.9493347,台灣桃園市八德區介壽路二段318之2號,桃園市,八德區
桃園藝文門市,121.305117,25.01434,台灣桃園市桃園區大興西路一段163號,桃園市,桃園區
中壢復興門市,121.225055,24.956334,台灣桃園市中壢區復興路71號11F、320,桃園市,中壢區
新竹北大門市,120.96219,24.805765,台灣新竹市北區集和街63巷16號,新竹市,北區
台南公園門市,120.205517,22.994531,台灣台南市中西區公園路32號,台南市,中西區
鳳山青年門市,120.350851,22.639587,台灣高雄市鳳山區青年路二段287號,高雄市,鳳山區
左營博愛門市,120.303737,22.6696,台灣高雄市左營區博愛二路664號全棟,高雄市,左營區
高雄岡山門市,120.296408,22.790233,台灣高雄市岡山區岡山路176號,高雄市,岡山區
板橋廣權交車中心,121.460497,24.990911,台灣新北市板橋區廣權路6號,新北市,板橋區
台中站前交車中心,120.686887,24.138265,台灣台中市東區新民街90號,台中市,東區
高雄中正交車中心,120.312073,22.630904,台灣高雄市新興區中正三路20號,高雄市,新興區
北桃永安交車中心,121.290919,25.007842,台灣桃園市桃園區永安路916號,桃園市,桃園區
新竹林森服務中心,120.964368,24.799004,台灣新竹市東區林森路187號,新竹市,東區
新店北新服務中心,121.540723,24.985133,台灣新北市新店?北新路三段224號B1,新北市,新店區
內湖民權服務中心,121.608623,25.07045,台灣台北市內湖區民權東路六段296巷66-3號,台北市,內湖區
新莊中正服務中心,121.461918,25.039618,台灣新北市新莊區中正路57號,新北市,新莊區
蘆洲三民服務中心,121.470737,25.087791,台灣新北市蘆洲區三民路140號,新北市,蘆洲區
土城明德服務中心,121.449554,24.982311,台灣新北市土城區學府路二段3號,新北市,土城區
桃園復興服務中心,121.318492,24.991084,台灣桃園市桃園區復興路24號,桃園市,桃園區
台中柳川服務中心,120.68143,24.155019,台灣台中市北區柳川東路四段113號,台中市,北區
豐原中山服務中心,120.713265,24.2518,台灣台中市豐原區豐西街21號,台中市,豐原區
永康中山南服務中心,120.25417,23.024788,台灣台南市永康區中山南路611號,台南市,永康區
高雄五甲服務中心,120.32691,22.592607,台灣高雄市鳳山區五甲三路64號,高雄市,鳳山區
高雄中正服務中心,120.312073,22.630904,台灣高雄市新興區中正三路20號,高雄市,新興區
三重集成服務中心,121.489388,25.052408,台灣新北市三重區集成路39號2樓,新北市,三重區
竹北中正東門市,121.015317,24.835261,台灣新竹縣竹北市中正東路176、178號,新竹縣,竹北市
彰化中山門市,120.544071,24.076766,台灣彰化縣彰化市中山路二段443號,彰化縣,彰化市
嘉義興業東門市,120.454721,23.4693,台灣嘉義市東區興業東路22號,嘉義市,東區
樹林三俊門市,121.422551,25.014216,台灣新北市樹林區三俊街288號,新北市,樹林區
