"id","Date","Open","High","Low","Adj Close","Volume","Close","Tickers"
,"2020-01-02",332.5,339,332.5,306.4301452636719,31754120,339,"2330.TW"
,"2020-01-03",344,345,335.5,306.8822021484375,41811268,339.5,"2330.TW"
,"2020-01-06",333,334.5,332,300.1026916503906,45343057,332,"2330.TW"
,"2020-01-07",332.5,333,326.5,297.84295654296875,50879181,329.5,"2330.TW"
,"2020-01-08",325,333,325,297.84295654296875,37567748,329.5,"2330.TW"
,"2020-01-09",335,337.5,333.5,305.07427978515625,31481504,337.5,"2330.TW"
,"2020-01-10",340.5,341,336,306.8822021484375,27032115,339.5,"2330.TW"
,"2020-01-13",342,342,339,308.6899719238281,30663332,341.5,"2330.TW"
,"2020-01-14",345.5,346,344.5,312.7576599121094,30223993,346,"2330.TW"
,"2020-01-15",345,345,337.5,307.3341064453125,47434274,340,"2330.TW"
,"2020-01-16",330,336.5,330,302.36248779296875,55211420,334.5,"2330.TW"
,"2020-01-17",334,335.5,332,301.00665283203125,52060097,333,"2330.TW"
,"2020-01-20",334,335.5,333,301.00665283203125,32658203,333,"2330.TW"
,"2020-01-30",326,326,316.5,286.09185791015625,125451049,316.5,"2330.TW"
,"2020-01-31",323,323.5,319,289.2556457519531,62526055,320,"2330.TW"
,"2020-02-03",315,316.5,312,284.7359619140625,59560849,315,"2330.TW"
,"2020-02-04",336.5,337,325,293.7752380371094,51890496,325,"2330.TW"
,"2020-02-05",329,329.5,324.5,296.0350341796875,36601453,327.5,"2330.TW"
,"2020-02-06",329.5,332.5,329,300.5546569824219,29267094,332.5,"2330.TW"
,"2020-02-07",330,330.5,326,296.4869689941406,28798327,328,"2330.TW"
,"2020-02-10",321.5,328,321,296.0350341796875,30632424,327.5,"2330.TW"
,"2020-02-11",330.5,332.5,330,299.6506652832031,27524935,331.5,"2330.TW"
,"2020-02-12",333.5,336,333,302.81451416015625,37612639,335,"2330.TW"
,"2020-02-13",338,338,335,302.81451416015625,22757021,335,"2330.TW"
,"2020-02-14",337,337,334.5,302.81451416015625,16933683,335,"2330.TW"
,"2020-02-17",331.5,333,330.5,299.6506652832031,15937079,331.5,"2330.TW"
,"2020-02-18",324.5,326.5,322,291.0634765625,61825604,322,"2330.TW"
,"2020-02-19",322.5,327,322,295.1310729980469,38781218,326.5,"2330.TW"
,"2020-02-20",328,329,325,294.2271728515625,27011736,325.5,"2330.TW"
,"2020-02-21",325.5,326.5,323,293.7752380371094,22813534,325,"2330.TW"
,"2020-02-24",319.5,321.5,319.5,289.2556457519531,41693680,320,"2330.TW"
,"2020-02-25",320,323.5,317.5,291.0634765625,36195011,322,"2330.TW"
,"2020-02-26",317,320.5,316.5,287.8996276855469,60479362,318.5,"2330.TW"
,"2020-02-27",319,320,315,285.6399230957031,61250927,316,"2330.TW"
,"2020-03-02",308,317,308,281.12030029296875,79912942,311,"2330.TW"
,"2020-03-03",318.5,320,316,286.9958190917969,49679411,317.5,"2330.TW"
,"2020-03-04",322,322,317,289.7075500488281,42941146,320.5,"2330.TW"
,"2020-03-05",325,326,323,291.96734619140625,37861525,323,"2330.TW"
,"2020-03-06",320,320.5,315,284.7359619140625,51546760,315,"2330.TW"
,"2020-03-09",307.5,310,305.5,276.1486511230469,87871277,305.5,"2330.TW"
,"2020-03-10",301.5,309,301,277.504638671875,71950130,307,"2330.TW"
,"2020-03-11",309,310.5,302,272.9849853515625,62216710,302,"2330.TW"
,"2020-03-12",299,299,287,265.7535705566406,113527351,294,"2330.TW"
,"2020-03-13",275,294,272.5,262.13787841796875,149995148,290,"2330.TW"
,"2020-03-16",285,291,275.5,249.9349365234375,103873228,276.5,"2330.TW"
,"2020-03-17",265,276.5,265,242.2515869140625,121323651,268,"2330.TW"
,"2020-03-18",269.5,272.5,260,235.0202178955078,117437643,260,"2330.TW"
,"2020-03-19",252,253,235.5,226.34950256347656,160811697,248,"2330.TW"
