year,County,Registration Units,Registrations,Deregistrations,Transfers,Modifications,Neutered,Neutered Deregistrations,Exempt from Neutering,Exempt Deregistrations,Neutering Rate,Breeding Management Rate
2024,新北市,293,10377,383,13619,4254,3110,28,170,0,30.84,32.54
2024,臺北市,205,5159,132,6280,2488,1765,19,96,0,34.73,36.64
2024,臺中市,222,8762,120,9465,2507,3855,32,62,0,44.24,44.95
2024,臺南市,179,6277,149,5598,1214,1937,13,133,0,31.4,33.57
2024,高雄市,217,9354,212,8223,2116,3875,24,107,0,42.12,43.29
2024,桃園市,181,6658,156,9739,2852,2183,12,38,0,33.39,33.97
2024,宜蘭縣,31,1531,27,1558,508,530,12,77,1,34.44,39.49
2024,新竹縣,42,2169,48,1824,570,1083,4,35,0,50.87,52.52
2024,苗栗縣,38,2844,67,1575,731,1304,27,32,0,45.98,47.14
2024,彰化縣,85,4616,207,4632,996,1808,95,21,0,38.85,39.33
2024,南投縣,20,3134,24,1181,436,2201,9,50,0,70.48,72.09
2024,雲林縣,40,2275,69,1256,434,1273,50,13,0,55.44,56.03
2024,嘉義縣,22,2081,11,1019,375,1145,1,8,0,55.27,55.65
2024,屏東縣,103,3696,73,2073,520,2012,4,44,0,55.42,56.64
2024,臺東縣,12,2239,16,525,316,1083,5,24,0,48.49,49.57
2024,花蓮縣,33,2373,23,759,467,1199,9,21,0,50.64,51.53
2024,澎湖縣,12,258,5,287,108,89,0,3,0,35.18,36.36
2024,基隆市,19,1048,109,1403,333,311,2,17,0,32.91,34.72
2024,新竹市,32,1166,25,1466,357,430,6,56,0,37.16,42.07
2024,嘉義市,40,823,95,774,230,270,5,0,0,36.4,36.4
2024,金門縣,1,308,11,184,96,132,3,32,0,43.43,54.21
2024,連江縣,1,18,0,18,7,4,0,0,0,22.22,22.22
2024,全臺,1828,77166,1962,73458,21915,31599,360,1039,1,41.54,42.92
2023,新北市,303,12425,745,14781,5680,5848,95,199,0,49.26,50.96
2023,臺北市,222,6411,239,6873,3386,3279,45,120,0,52.4,54.34
2023,臺中市,228,11069,333,11346,3655,6484,117,244,4,59.31,61.54
2023,臺南市,175,7611,330,6656,1731,2730,48,194,0,36.84,39.5
2023,高雄市,221,12023,917,10089,3024,6065,551,162,2,49.65,51.09
2023,桃園市,194,8680,370,11440,4165,3939,82,76,2,46.41,47.3
2023,宜蘭縣,28,1864,110,1782,600,684,37,158,10,36.89,45.32
2023,新竹縣,42,2468,97,2059,840,1376,31,73,2,56.73,59.72
2023,苗栗縣,37,2875,212,1872,798,1409,54,19,0,50.88,51.6
2023,彰化縣,85,5470,644,4221,1412,2638,388,38,0,46.62,47.41
2023,南投縣,21,3446,189,1544,560,2341,28,132,10,71.02,74.76
2023,雲林縣,42,3058,306,1826,687,1833,233,52,1,58.14,59.99
2023,嘉義縣,19,2156,62,1396,564,1156,24,10,0,54.06,54.54
2023,屏東縣,104,4323,234,2684,961,2138,46,55,0,51.16,52.51
2023,臺東縣,13,3055,326,692,383,1295,165,266,5,41.41,50.97
2023,花蓮縣,34,3165,83,932,697,1685,28,7,0,53.76,53.99
