年,月,登記數,除戶數,絕育數,絕育除戶數,絕育率
2024,12,840,2,396,1,47.14
2024,11,2692,20,1162,2,43.41
2024,10,2909,35,1099,5,38.07
2024,9,2576,37,1040,5,40.76
2024,8,2820,61,1136,7,40.92
2024,7,2534,77,947,6,38.3
2024,6,2570,95,1031,9,41.29
2024,5,2975,114,1368,11,47.43
2024,4,2776,110,1368,10,50.94
2024,3,2770,77,1543,13,56.81
2024,2,2344,129,1241,10,55.58
2024,1,2629,115,1456,14,57.36
2023,12,2521,90,1518,23,61.5
2023,11,2667,82,1652,17,63.25
2023,10,2732,101,1558,16,58.61
2023,9,2431,118,1350,14,57.76
2023,8,2728,107,1599,19,60.28
2023,7,2729,132,1491,12,56.95
2023,6,2501,148,1399,19,58.65
2023,5,2659,165,1549,25,61.11
2023,4,2631,156,1536,14,61.49
2023,3,3041,226,1850,30,64.65
2023,2,2794,183,1653,27,62.27
2023,1,2406,158,1427,29,62.19
2022,12,2578,137,1566,26,63.09
2022,11,2641,179,1619,26,64.7
2022,10,2697,173,1635,33,63.47
2022,9,2573,130,1494,41,59.48
2022,8,2966,204,1746,41,61.73
2022,7,2945,210,1625,45,57.77
2022,6,2646,189,1492,39,59.14
2022,5,2585,174,1560,39,63.09
2022,4,2795,200,1681,36,63.39
2022,3,2926,165,1842,41,65.23
2022,2,2557,155,1513,41,61.28
2022,1,2806,178,1638,34,61.04
2021,12,2490,139,1460,44,60.23
2021,11,2313,151,1363,36,61.38
2021,10,2631,221,1529,66,60.71
2021,9,2620,196,1493,41,59.9
2021,8,2924,180,1604,46,56.78
2021,7,2867,202,1708,60,61.84
2021,6,2181,165,1295,51,61.71
2021,5,2255,154,1393,46,64.11
2021,4,2416,184,1505,62,64.65
2021,3,2768,187,1817,82,67.22
2021,2,2033,152,1308,68,65.92
2021,1,2567,246,1560,89,63.38
2020,12,2174,173,1301,63,61.87
2020,11,2248,180,1367,89,61.8
2020,10,2408,180,1413,72,60.19
2020,9,2402,218,1374,74,59.52
2020,8,2402,204,1392,69,60.19
2020,7,2543,234,1431,82,58.42
2020,6,2364,223,1400,94,61.0
2020,5,2490,214,1458,85,60.33
2020,4,2469,231,1503,73,63.9
2020,3,2550,188,1622,68,65.79
2020,2,2662,199,1707,78,66.14
2020,1,2083,213,1198,71,60.27
2019,12,2179,200,1290,75,61.39
2019,11,2230,236,1372,109,63.34
2019,10,2568,232,1568,90,63.27
2019,9,2140,210,1271,91,61.14
2019,8,2572,270,1478,82,60.64
2019,7,2411,266,1365,118,58.14
2019,6,1961,208,1130,76,60.13
2019,5,2188,262,1232,99,58.83
2019,4,2317,263,1471,98,66.85
2019,3,2535,278,1542,101,63.85
2019,2,1891,225,1162,106,63.39
2019,1,2602,272,1692,115,67.68
2018,12,2074,237,1164,76,59.23
2018,11,2343,308,1303,90,59.61
2018,10,3196,582,1452,112,51.26
2018,9,1666,181,1044,83,64.71
2018,8,1960,261,1214,120,64.39
2018,7,1688,170,1019,84,61.59
2018,6,1660,156,1065,71,66.09
2018,5,1808,175,1188,103,66.44
2018,4,1861,163,1352,109,73.2
2018,3,2226,231,1573,127,72.48
2018,2,1459,129,1011,62,71.35
2018,1,1928,196,1396,113,74.08
2017,12,1377,110,919,61,67.72
2017,11,1600,157,1034,77,66.32
2017,10,1396,131,964,79,69.96
2017,9,1727,159,1090,93,63.58
2017,8,1531,169,964,92,64.02
2017,7,1630,160,1061,101,65.31
2017,6,1470,182,910,115,61.72
2017,5,1499,209,968,126,65.27
2017,4,1719,239,1184,154,69.59
2017,3,1854,272,1351,191,73.32
2017,2,1791,219,1320,139,75.13
2017,1,1616,216,1129,126,71.64
2016,12,1503,235,954,147,63.64
2016,11,1579,254,1045,175,65.66
2016,10,2001,422,1187,221,61.18
2016,9,1729,374,1004,195,59.7
2016,8,1883,296,1123,146,61.56
2016,7,2062,373,1303,211,64.65
2016,6,1740,298,1169,188,68.03
2016,5,1865,258,1273,157,69.45
2016,4,2264,375,1603,248,71.73
2016,3,2343,412,1693,284,72.97
2016,2,1633,229,1204,152,74.93
2016,1,2005,299,1532,202,77.96
2015,12,1486,262,974,153,67.08
2015,11,1684,333,1080,181,66.54
2015,10,1942,391,1143,207,60.35
2015,9,1649,319,958,143,61.28
2015,8,1811,407,1194,255,66.88
2015,7,2264,527,1384,323,61.08
2015,6,2449,605,1779,418,73.81
2015,5,2378,466,1741,290,75.89
2015,4,2862,608,2071,412,73.6
2015,3,2881,621,2129,405,76.28
2015,2,1692,343,1242,237,74.5
2015,1,2337,437,1752,298,76.53
