sitename,address,city,dist,lat,lon
西歐台北士林加油站,台北市士林區中山北路五段570號(近福林公園),台北市,士林區,25.0951685,121.528571
全聯士林中正店站,台北市士林區中正路115號(近中正路/中山北路五段路口),台北市,士林區,25.0956749,121.5285468
台北捷運士林站,台北市士林區中正路247巷捷運站2號出口(近捷運站機車轉乘停車場),台北市,士林區,25.09343,121.52642
文昌國小地下停車場B1F站,台北市士林區文林路615巷20號(地下一樓機車停車場)(近文林路615巷6弄巷口),台北市,士林區,25.0995584,121.5213883
Gogoro 士林文林店站,台北市士林區文林路65號(近士林夜市),台北市,士林區,25.0873269,121.5257023
故宮廣場停車場站,台北市士林區至善路二段134號(近至善路二段/力行街口),台北市,士林區,25.0985529,121.5484659
社子國小地下停車場B1F站,台北市士林區延平北路6段308號(地下一樓機車停車場)(近社中街450號),台北市,士林區,25.0904715,121.5020712
延平北路5段臨時平面停車場站,台北市士林區延平北路五段1巷(近富光區民活動中心),台北市,士林區,25.0788328,121.5098975
Gogoro 天母忠誠門市站,台北市士林區忠誠路一段101號(近雨農國小),台北市,士林區,25.10485,121.528519
天母大葉高島屋百貨公司站,台北市士林區忠誠路二段55號(近大葉天母私有停車場入口),台北市,士林區,25.1118523,121.5314695
Gogoro 士林承德服務中心站,台北市士林區承德路四段340號(近承德路四段/福港街口),台北市,士林區,25.0900524,121.5174371
HiLife 北市社子店站,台北市士林區社子街63巷2號(近社子聖彌額爾天主堂),台北市,士林區,25.0875929,121.5068924
全家大港店站,台北市士林區前港街39號(近前港公園),台北市,士林區,25.084872,121.5215497
7-ELEVEN 文大店站,台北市士林區格致路57號(近格致路/菁山路口),台北市,士林區,25.1379005,121.5464069
台北捷運劍潭站,台北市士林區基河路捷運站2號出口(近捷運站機車轉乘停車場),台北市,士林區,25.09343,121.52642
台北捷運芝山站,台北市士林區福華路捷運站1號出口(近捷運站機車轉乘停車場),台北市,士林區,25.1029453,121.5225201
PGO 大同延平店站,台北市大同區延平北路三段73之1號(近臺北市延平國民小學),台北市,大同區,25.0666641,121.5110865
啟聰學校地下停車場B1F站,台北市大同區延平北路四段205號(地下一樓機車停車場)(近延平北路四段/迪化街二段口),台北市,大同區,25.0744147,121.5119779
建成公園地下停車場B1F站,台北市大同區承德路二段31號(地下一樓機車停車場)(近建成公園),台北市,大同區,25.0540267,121.5184286
